Username,Komentar,Timestamp,Likes,Original Text,Public
@blackberry1986,Coba dpr kalau mau buat undang&quot; bikin vote rakyat biar tau banyak rakyat yg setuju atau tidak..kalau tidak begitu berarti dpr itu bukan wakil rakyat..,2025-03-25T03:07:32Z,0,"Coba dpr kalau mau buat undang"" bikin vote rakyat biar tau banyak rakyat yg setuju atau tidak..kalau tidak begitu berarti dpr itu bukan wakil rakyat..",True
@UbaidillahAlhasani,mas adi dan bg pandji serti publik yg ada di kolom komentar ini buk,2025-03-19T21:29:18Z,0,mas adi dan bg pandji serti publik yg ada di kolom komentar ini buk,True
@BagasRyan-w5q,"Kelas mas adi prayitno memang benar yg kalah ga perlu cawe-cawe, karena mereka gak mendukung Koalisi Gemoy. Itu akan mempermudah surya paloh dengan rencana Liciknya😂",2025-03-17T19:06:15Z,0,"Kelas mas adi prayitno memang benar yg kalah ga perlu cawe-cawe, karena mereka gak mendukung Koalisi Gemoy. Itu akan mempermudah surya paloh dengan rencana Liciknya😂",True
@sahrulmeltas7551,Dari sini kita faham bahwa parpol nya tidak mau di kritik,2025-03-14T07:38:22Z,0,Dari sini kita faham bahwa parpol nya tidak mau di kritik,True
@SadegaTri,"Seneng lihat acara ini, tapi sedikit masih sda yg kurang Fair sih, ini cerminan wakil Rakyat",2025-03-09T18:48:53Z,0,"Seneng lihat acara ini, tapi sedikit masih sda yg kurang Fair sih, ini cerminan wakil Rakyat",True
@Sanah0404,Gua anak ibu anak hati nabi,2025-03-02T23:10:25Z,0,Gua anak ibu anak hati nabi,True
@YahuwahadaYathaqihadasha,Setiap orang berhak untuk menciptakan sesuatu yang benar dan baik Allah pun yang telah sangat baik tetap ada saja yang beranggapan sebaliknya😅,2025-03-01T03:24:05Z,0,Setiap orang berhak untuk menciptakan sesuatu yang benar dan baik Allah pun yang telah sangat baik tetap ada saja yang beranggapan sebaliknya😅,True
@diand9058,1000.5 ga percaya Maruar sirait ga pakai duit menang pemilu....  Kepiting sawah pun beranak,2025-02-19T12:35:05Z,0,1000.5 ga percaya Maruar sirait ga pakai duit menang pemilu....  Kepiting sawah pun beranak,True
@su-nanto1171,Lihat ada ibu² yg plonga plongo,2025-02-19T09:36:24Z,0,Lihat ada ibu² yg plonga plongo,True
@su-nanto1171,Lihat permainan baru ni mantab.,2025-02-19T09:35:51Z,0,Lihat permainan baru ni mantab.,True
